Expt,x,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2,MnO,P2O5
SpDis3,13.9,62.39,9.30,2.62,3.05,9.30,0.04,0.08,13.15,0.03,0.04
SpDis3,21.4,62.47,9.40,2.65,3.17,9.24,0.04,0.08,12.80,0.12,0.03
SpDis3,28.9,62.85,9.37,2.71,3.19,9.12,0.12,0.11,12.53,0.00,0.00
SpDis3,36.5,63.16,9.53,2.64,3.29,8.89,0.04,0.10,12.31,0.02,0.02
SpDis3,44.0,63.19,9.76,2.65,3.32,8.75,0.02,0.08,12.23,0.00,0.00
SpDis3,51.5,63.59,9.69,2.68,3.26,8.56,0.05,0.11,11.96,0.08,0.02
SpDis3,59.0,63.88,9.82,2.68,3.33,8.42,0.02,0.10,11.69,0.06,0.00
SpDis3,66.5,64.36,9.76,2.67,3.36,8.29,0.00,0.11,11.39,0.03,0.03
SpDis3,74.1,64.62,9.93,2.69,3.42,8.23,0.01,0.10,10.98,0.00,0.02
SpDis3,81.6,64.91,9.97,2.75,3.40,8.06,0.01,0.09,10.73,0.08,0.00
SpDis3,89.1,65.26,10.09,2.70,3.39,7.99,0.04,0.05,10.47,0.00,0.01
SpDis3,96.6,65.38,10.13,2.71,3.49,7.84,0.02,0.06,10.31,0.06,0.00
SpDis3,104.1,65.94,10.17,2.73,3.56,7.66,0.05,0.05,9.84,0.00,0.00
SpDis3,111.7,66.23,10.24,2.71,3.51,7.47,0.03,0.07,9.73,0.01,0.00
SpDis3,119.2,66.51,10.40,2.72,3.64,7.33,0.02,0.05,9.32,0.01,0.00
SpDis3,126.7,66.74,10.45,2.67,3.58,7.31,0.01,0.07,9.09,0.04,0.04
SpDis3,134.2,67.01,10.49,2.76,3.64,7.02,0.05,0.08,8.93,0.01,0.01
SpDis3,141.7,67.31,10.50,2.73,3.64,6.93,0.04,0.09,8.76,0.00,0.00
SpDis3,149.3,67.64,10.62,2.71,3.62,6.80,0.03,0.10,8.44,0.04,0.00
SpDis3,156.8,67.88,10.70,2.77,3.70,6.64,0.01,0.04,8.23,0.03,0.00
SpDis3,164.3,68.13,10.70,2.72,3.78,6.51,0.02,0.04,8.05,0.01,0.04
SpDis3,171.8,68.32,10.85,2.78,3.77,6.40,0.10,0.05,7.69,0.04,0.00
SpDis3,179.3,68.65,10.85,2.83,3.80,6.24,0.04,0.06,7.50,0.03,0.00
SpDis3,186.9,68.92,11.02,2.77,3.84,6.11,0.00,0.07,7.26,0.01,0.00
SpDis3,194.4,69.17,10.94,2.82,3.82,6.03,0.04,0.06,7.11,0.00,0.01
SpDis3,201.9,69.44,10.98,2.80,3.89,5.97,0.00,0.03,6.87,0.01,0.01
SpDis3,209.4,69.54,11.14,2.80,3.90,5.81,0.01,0.08,6.70,0.02,0.00
SpDis3,216.9,69.72,11.22,2.85,3.96,5.71,0.03,0.05,6.45,0.01,0.00
SpDis3,224.5,70.02,11.15,2.87,4.03,5.64,0.01,0.07,6.21,0.00,0.00
SpDis3,232.0,70.35,11.20,2.92,4.00,5.47,0.01,0.01,6.02,0.00,0.02
SpDis3,239.5,70.52,11.34,2.86,4.05,5.35,0.00,0.06,5.82,0.00,0.00
SpDis3,247.0,70.53,11.38,2.88,4.03,5.35,0.06,0.06,5.71,0.00,0.00
SpDis3,254.5,70.87,11.49,2.85,4.03,5.27,0.03,0.05,5.41,0.00,0.00
SpDis3,262.1,71.00,11.51,2.88,4.07,5.11,0.01,0.05,5.35,0.02,0.00
SpDis3,269.6,71.05,11.65,2.85,4.16,5.05,0.04,0.03,5.17,0.00,0.00
SpDis3,277.1,71.44,11.61,2.82,4.16,4.99,0.03,0.05,4.90,0.00,0.00
SpDis3,284.6,71.37,11.60,2.89,4.16,4.94,0.00,0.04,4.83,0.10,0.07
SpDis3,292.1,71.26,11.95,2.94,4.18,4.80,0.01,0.07,4.77,0.02,0.00
SpDis3,299.7,71.67,11.71,2.84,4.22,4.79,0.07,0.04,4.66,0.00,0.00
SpDis3,307.2,71.91,11.70,2.85,4.18,4.69,0.01,0.09,4.50,0.07,0.00
SpDis3,314.7,71.93,11.81,2.92,4.19,4.59,0.11,0.04,4.41,0.00,0.00
SpDis3,322.2,72.10,11.79,2.90,4.26,4.65,0.03,0.01,4.23,0.00,0.03
SpDis3,329.7,72.39,11.75,2.88,4.21,4.64,0.00,0.05,4.04,0.04,0.00
SpDis3,337.3,72.39,11.88,2.95,4.25,4.47,0.00,0.07,3.96,0.03,0.00
SpDis3,344.8,72.52,11.81,2.95,4.26,4.39,0.00,0.07,3.93,0.00,0.07
SpDis3,352.3,72.58,11.94,2.91,4.23,4.48,0.00,0.00,3.86,0.00,0.00
SpDis3,359.8,72.62,11.94,2.92,4.28,4.38,0.00,0.06,3.73,0.07,0.00
SpDis3,367.3,72.74,12.01,2.96,4.28,4.21,0.07,0.07,3.63,0.03,0.00
SpDis3,374.9,72.74,12.03,2.96,4.30,4.32,0.01,0.08,3.53,0.00,0.03
SpDis3,382.4,72.83,11.96,3.02,4.31,4.23,0.04,0.06,3.55,0.00,0.00
SpDis7,233.3,76.36,13.21,3.66,4.77,0.80,0.70,0.16,0.19,0.15,0.00
SpDis7,230.4,76.46,13.18,3.62,4.79,0.85,0.59,0.11,0.21,0.12,0.07
SpDis7,227.4,76.79,13.18,3.67,4.68,0.87,0.60,0.07,0.14,0.00,0.00
SpDis7,224.5,76.54,13.24,3.55,4.75,0.90,0.71,0.07,0.15,0.07,0.02
SpDis7,221.5,76.50,13.23,3.59,4.76,0.84,0.70,0.10,0.22,0.06,0.00
SpDis7,218.6,76.69,13.34,3.47,4.69,0.83,0.63,0.09,0.19,0.07,0.00
SpDis7,215.6,76.54,13.24,3.66,4.69,0.86,0.69,0.05,0.14,0.12,0.01
SpDis7,212.7,76.70,13.19,3.63,4.70,0.77,0.69,0.11,0.18,0.03,0.00
SpDis7,209.7,76.64,13.29,3.63,4.75,0.85,0.62,0.06,0.12,0.04,0.00
SpDis7,206.8,76.77,13.08,3.60,4.72,0.86,0.64,0.07,0.17,0.09,0.00
SpDis7,203.8,76.58,13.29,3.61,4.68,0.90,0.60,0.04,0.19,0.04,0.07
SpDis7,200.9,76.60,13.25,3.70,4.67,0.86,0.63,0.06,0.18,0.05,0.00
SpDis7,197.9,76.41,13.22,3.76,4.70,0.94,0.66,0.06,0.16,0.09,0.00
SpDis7,195.0,76.58,13.08,3.60,4.74,0.89,0.73,0.07,0.19,0.12,0.00
SpDis7,192.0,76.69,13.21,3.66,4.71,0.89,0.65,0.02,0.09,0.07,0.01
SpDis7,189.1,76.51,13.18,3.63,4.75,0.90,0.66,0.02,0.24,0.11,0.00
SpDis7,186.1,76.67,13.35,3.51,4.73,0.85,0.64,0.07,0.16,0.02,0.00
SpDis7,183.2,76.49,13.32,3.67,4.72,0.88,0.60,0.08,0.18,0.06,0.00
SpDis7,180.2,76.63,13.34,3.55,4.64,0.93,0.62,0.04,0.18,0.07,0.00
SpDis7,177.3,76.43,13.24,3.71,4.75,0.87,0.62,0.12,0.15,0.08,0.03
SpDis7,174.3,76.51,13.22,3.56,4.77,0.88,0.73,0.10,0.23,0.00,0.00
SpDis7,171.4,76.55,13.21,3.61,4.76,0.87,0.63,0.06,0.19,0.05,0.07
SpDis7,168.4,76.50,13.29,3.55,4.73,0.82,0.65,0.07,0.24,0.13,0.02
SpDis7,165.5,76.32,13.34,3.69,4.69,0.85,0.69,0.14,0.25,0.03,0.00
SpDis7,162.5,76.41,13.38,3.61,4.72,0.86,0.70,0.07,0.18,0.07,0.00
SpDis7,159.6,76.33,13.38,3.64,4.75,0.93,0.65,0.07,0.19,0.06,0.00
SpDis7,156.6,76.58,13.34,3.55,4.68,0.84,0.67,0.08,0.19,0.07,0.00
SpDis7,153.7,76.71,13.16,3.57,4.75,0.89,0.60,0.05,0.22,0.05,0.00
SpDis7,150.7,76.48,13.25,3.57,4.77,0.90,0.64,0.07,0.22,0.09,0.01
SpDis7,147.8,76.61,13.13,3.62,4.80,0.88,0.63,0.07,0.16,0.10,0.00
SpDis7,144.8,76.55,13.20,3.63,4.69,0.82,0.69,0.08,0.23,0.11,0.00
SpDis7,141.9,76.45,13.26,3.64,4.67,0.89,0.65,0.05,0.30,0.09,0.00
SpDis7,138.9,76.48,13.22,3.61,4.74,0.94,0.61,0.13,0.20,0.07,0.00
SpDis7,136.0,76.44,13.29,3.65,4.75,0.89,0.64,0.07,0.22,0.04,0.01
SpDis7,133.0,76.43,13.29,3.64,4.72,0.92,0.55,0.13,0.26,0.06,0.00
SpDis7,130.1,76.54,13.21,3.65,4.71,0.88,0.59,0.05,0.27,0.10,0.00
SpDis7,127.1,76.45,13.27,3.57,4.78,0.88,0.67,0.06,0.30,0.02,0.00
SpDis7,124.2,76.61,13.23,3.45,4.67,0.95,0.66,0.05,0.31,0.05,0.02
SpDis7,121.2,76.35,13.16,3.67,4.79,0.95,0.60,0.06,0.34,0.08,0.00
SpDis7,118.3,76.28,13.28,3.59,4.80,0.86,0.67,0.10,0.34,0.04,0.04
SpDis7,115.3,76.37,13.10,3.60,4.68,0.95,0.70,0.12,0.38,0.08,0.02
SpDis7,112.4,76.54,13.19,3.52,4.68,0.99,0.68,0.04,0.30,0.06,0.00
SpDis7,109.4,76.28,13.13,3.63,4.73,0.96,0.73,0.06,0.36,0.12,0.00
SpDis7,106.5,76.42,13.23,3.50,4.66,0.97,0.65,0.10,0.39,0.08,0.00
SpDis7,103.5,76.39,13.14,3.53,4.73,0.96,0.69,0.08,0.37,0.11,0.00
SpDis7,100.6,76.42,13.23,3.55,4.66,0.92,0.68,0.07,0.42,0.05,0.00
SpDis7,97.6,76.40,13.17,3.60,4.59,0.93,0.70,0.06,0.43,0.12,0.00
SpDis7,94.7,76.58,13.15,3.48,4.67,0.88,0.61,0.06,0.51,0.06,0.00
SpDis7,91.7,76.29,13.29,3.58,4.67,0.88,0.70,0.11,0.44,0.04,0.00
SpDis7,88.8,76.32,13.26,3.47,4.62,0.98,0.65,0.10,0.48,0.12,0.00
SpDis7,85.8,76.23,13.16,3.60,4.72,0.94,0.67,0.10,0.53,0.05,0.00
SpDis7,82.9,76.49,13.08,3.52,4.74,0.92,0.63,0.06,0.49,0.06,0.01
SpDis7,79.9,76.29,13.19,3.64,4.64,0.94,0.63,0.04,0.53,0.10,0.00
SpDis7,77.0,76.34,13.05,3.57,4.72,0.95,0.69,0.06,0.54,0.08,0.00
SpDis7,74.0,76.38,13.03,3.47,4.64,0.99,0.67,0.13,0.61,0.08,0.00
SpDis7,71.1,76.19,13.08,3.56,4.68,1.00,0.69,0.10,0.62,0.08,0.00
SpDis7,68.1,76.23,13.15,3.46,4.72,0.99,0.70,0.07,0.63,0.05,0.00
SpDis7,65.2,76.17,13.12,3.56,4.66,1.00,0.66,0.04,0.66,0.13,0.00
SpDis7,62.2,76.24,13.13,3.55,4.58,1.02,0.71,0.08,0.64,0.05,0.00
SpDis7,59.3,76.21,12.91,3.60,4.64,0.99,0.74,0.08,0.75,0.08,0.00
SpDis7,56.3,76.08,13.06,3.50,4.59,1.00,0.78,0.07,0.81,0.04,0.07
SpDis7,53.4,75.94,12.95,3.67,4.68,0.98,0.78,0.06,0.80,0.14,0.00
SpDis7,50.4,76.23,12.92,3.56,4.54,1.02,0.67,0.12,0.80,0.05,0.09
SpDis7,47.5,76.26,12.90,3.46,4.60,1.03,0.73,0.13,0.81,0.07,0.01
SpDis7,44.5,76.34,13.00,3.42,4.57,0.93,0.69,0.06,0.84,0.15,0.00
SpDis7,41.6,76.17,12.84,3.49,4.60,0.97,0.71,0.11,1.01,0.09,0.01
SpDis7,38.6,76.28,12.76,3.47,4.51,1.03,0.78,0.07,0.99,0.11,0.00
SpDis7,35.7,75.95,13.01,3.51,4.67,1.04,0.69,0.06,1.01,0.05,0.01
SpDis7,32.7,76.10,12.88,3.42,4.60,0.99,0.72,0.12,1.04,0.11,0.02
SpDis7,29.8,76.16,12.84,3.44,4.57,1.06,0.67,0.06,1.13,0.07,0.00
SpDis7,26.8,76.06,12.83,3.43,4.55,1.03,0.78,0.11,1.12,0.07,0.02
SpDis7,23.9,76.15,12.74,3.44,4.64,1.05,0.72,0.07,1.06,0.13,0.00
SpDis7,20.9,76.23,12.85,3.36,4.59,0.95,0.77,0.05,1.14,0.06,0.00
SpDis7,18.0,76.06,12.87,3.48,4.57,1.00,0.72,0.05,1.19,0.06,0.00
SpDis7,15.0,76.27,12.76,3.43,4.50,1.07,0.69,0.04,1.15,0.09,0.00
SpDis10,9.0,75.71,12.90,2.33,4.14,2.14,0.00,0.05,2.67,0.06,0.00
SpDis10,26.3,75.83,12.92,2.37,4.24,2.16,0.00,0.07,2.41,0.00,0.00
SpDis10,43.6,75.85,12.85,2.40,4.23,2.10,0.05,0.08,2.44,0.00,0.00
SpDis10,60.9,76.17,12.80,2.33,4.24,2.05,0.03,0.11,2.22,0.02,0.03
SpDis10,78.2,76.12,12.91,2.37,4.22,2.05,0.00,0.07,2.26,0.00,0.00
SpDis10,95.5,76.01,12.95,2.36,4.24,2.03,0.08,0.08,2.22,0.03,0.00
SpDis10,112.8,76.10,12.98,2.38,4.32,1.97,0.04,0.07,2.09,0.05,0.00
SpDis10,130.1,76.27,12.86,2.34,4.29,1.99,0.10,0.11,2.04,0.00,0.00
SpDis10,147.4,76.23,12.95,2.41,4.20,2.00,0.08,0.07,2.01,0.05,0.00
SpDis10,164.7,76.41,12.95,2.37,4.29,2.00,0.04,0.06,1.88,0.00,0.00
SpDis10,182.0,76.48,13.02,2.39,4.21,1.93,0.00,0.07,1.90,0.00,0.00
SpDis10,199.3,76.51,12.96,2.27,4.32,2.03,0.00,0.08,1.83,0.00,0.00
SpDis10,216.6,76.56,13.03,2.31,4.29,1.93,0.00,0.10,1.73,0.03,0.02
SpDis10,233.9,76.48,13.00,2.34,4.29,1.96,0.02,0.05,1.78,0.05,0.03
SpDis10,251.2,76.48,13.13,2.41,4.26,1.98,0.00,0.05,1.65,0.04,0.00
SpDis10,268.5,76.66,13.00,2.43,4.30,1.89,0.00,0.06,1.64,0.00,0.02
SpDis10,285.8,76.54,13.03,2.39,4.29,1.94,0.06,0.10,1.64,0.01,0.00
SpDis10,303.1,76.78,13.00,2.48,4.32,1.91,0.03,0.02,1.46,0.00,0.00
SpDis10,320.4,76.79,13.05,2.41,4.31,1.85,0.00,0.07,1.42,0.08,0.02
SpDis10,337.7,76.84,13.09,2.35,4.33,1.86,0.00,0.07,1.41,0.05,0.00
SpDis10,355.0,76.92,12.97,2.40,4.35,1.87,0.02,0.08,1.37,0.02,0.00
SpDis10,372.3,76.79,13.14,2.42,4.37,1.82,0.00,0.09,1.36,0.01,0.00
SpDis10,389.6,76.86,13.10,2.48,4.35,1.87,0.00,0.05,1.29,0.00,0.00
SpDis10,406.9,76.86,13.09,2.49,4.30,1.83,0.06,0.11,1.22,0.04,0.00
SpDis10,424.2,77.01,13.09,2.40,4.34,1.85,0.01,0.05,1.25,0.00,0.00
SpDis10,441.5,76.85,13.15,2.48,4.32,1.83,0.02,0.10,1.20,0.04,0.01
SpDis10,458.8,77.05,13.09,2.43,4.29,1.86,0.05,0.07,1.15,0.01,0.00
SpDis10,476.1,76.98,13.12,2.36,4.29,1.85,0.02,0.11,1.24,0.03,0.00
SpDis10,493.4,76.93,13.15,2.47,4.37,1.80,0.02,0.06,1.11,0.06,0.03
SpDis10,510.7,77.01,13.19,2.46,4.31,1.83,0.00,0.07,1.07,0.03,0.03
SpDis10,528.0,76.98,13.08,2.47,4.40,1.89,0.00,0.09,1.06,0.03,0.00
SpDis10,545.3,76.87,13.23,2.53,4.35,1.82,0.02,0.07,1.11,0.00,0.00
SpDis10,562.6,76.97,13.17,2.53,4.36,1.77,0.03,0.09,1.06,0.00,0.02
SpDis10,579.9,77.23,13.04,2.48,4.32,1.79,0.04,0.12,0.98,0.00,0.00
SpDis10,597.2,77.11,13.14,2.41,4.36,1.82,0.00,0.11,1.01,0.04,0.00
SpDis10,614.5,77.01,13.18,2.57,4.38,1.85,0.00,0.02,0.98,0.01,0.00
SpDis10,631.8,77.18,13.11,2.46,4.35,1.83,0.00,0.11,0.93,0.03,0.00
SpDis10,649.1,77.01,13.10,2.55,4.47,1.82,0.01,0.09,0.92,0.03,0.00
SpDis10,666.4,77.09,13.19,2.53,4.39,1.79,0.05,0.06,0.90,0.00,0.00
SpDis10,683.7,77.06,13.17,2.51,4.39,1.80,0.00,0.07,0.98,0.00,0.02
SpDis10,701.0,77.06,13.18,2.49,4.37,1.81,0.00,0.09,0.98,0.02,0.00
SpDis10,718.3,77.03,13.18,2.50,4.36,1.86,0.01,0.08,0.94,0.01,0.03
SpDis10,735.6,77.13,13.19,2.43,4.43,1.76,0.01,0.11,0.93,0.01,0.00
SpDis10,752.9,77.13,13.16,2.44,4.49,1.77,0.00,0.08,0.91,0.02,0.00
SpDis10,770.2,77.24,13.11,2.49,4.38,1.73,0.01,0.06,0.95,0.02,0.01
SpDis10,787.5,77.17,13.15,2.50,4.39,1.80,0.00,0.07,0.90,0.00,0.02
SpDis10,804.8,77.08,13.05,2.53,4.39,1.82,0.05,0.10,0.95,0.03,0.00
SpDis10,822.1,77.22,13.16,2.56,4.36,1.77,0.00,0.08,0.85,0.00,0.00
SpDis10,839.4,77.25,12.99,2.54,4.40,1.78,0.00,0.09,0.93,0.02,0.00
SpDis10,856.7,77.14,13.10,2.53,4.39,1.80,0.02,0.04,0.97,0.01,0.00
SpDis11,46.0,75.51,12.63,2.27,4.36,2.45,0.00,0.05,2.73,0.00,0.00
SpDis11,58.8,75.26,12.62,2.31,4.42,2.51,0.00,0.09,2.74,0.05,0.00
SpDis11,71.6,75.35,12.64,2.31,4.49,2.48,0.00,0.04,2.60,0.08,0.01
SpDis11,84.4,75.36,12.67,2.38,4.47,2.44,0.00,0.05,2.63,0.00,0.00
SpDis11,97.2,75.46,12.66,2.27,4.49,2.45,0.04,0.07,2.56,0.00,0.00
SpDis11,110.0,75.50,12.65,2.33,4.38,2.40,0.01,0.06,2.58,0.06,0.03
SpDis11,122.8,75.61,12.58,2.29,4.39,2.40,0.00,0.08,2.65,0.00,0.00
SpDis11,135.6,75.54,12.69,2.29,4.33,2.46,0.00,0.08,2.56,0.05,0.00
SpDis11,148.4,75.51,12.57,2.36,4.46,2.38,0.00,0.10,2.57,0.05,0.00
SpDis11,161.2,75.51,12.58,2.27,4.47,2.40,0.06,0.08,2.60,0.00,0.03
