"","DF_Model","Expt","Source","TC","Pkb","Titanite","Rutile","SiO2","Al2O3","Na2O","K2O","CaO","FeO","MgO","TiO2","Si","Al","Na","K","Ca","Fe","Mg","Ti","eCa","CationSum","lnTiO2","Al2O3m","Na2Om","K2Om","CaOm","M","FM","C","A_CNK","A_NK","A_C","TK","InvTK","PInvTK"
"1","N","1044A","LEPR",1000,7.5,"Y","N",56.55,15.54,3.34,1.56,7.35,5.07,2.41,2.32,0.561102899827936,0.181727832921307,0.0642549250678387,0.0197472160628617,0.0781373187472329,0.0420704804063382,0.0356483231540565,0.0173110038124287,0.0491037386508751,1.67735688697939,0.841567185678219,0.152411216053197,0.0538892205424418,0.0165615644308555,0.131064169730775,2.35639362899353,3.88076976397083,4.81560213928081,0.75632707397332,2.16337143881313,1.16287476864403,1273.15,0.000785453402976868,5.89011506892354
"2","N","1044BA","LEPR",1000,7.5,"Y","N",51.82,15.55,1.83,0.9,9.96,7.97,2.95,2.85,0.524913717584076,0.185644221838878,0.0359411239439438,0.0116306610367878,0.108096370875382,0.0675162702888274,0.0445476387581149,0.0217099956739908,0.0641769096395394,1.64302762841892,1.04731899428056,0.152509292768804,0.0295261298181642,0.00955474871010892,0.17760532388007,2.70674304064559,5.00673545948311,6.58581370624553,0.703825583141659,3.90240185257019,0.858697754307114,1273.15,0.000785453402976868,5.89011506892354
"3","N","1044T","LEPR",1000,7.5,"Y","N",60.75,15.21,5.23,4.82,2.65,3.58,0.16,1.73,0.593618269904624,0.17516636590483,0.0990860956944314,0.0600868435570316,0.0277439384298163,0.0292552363616603,0.00233073618559897,0.0127125139620072,0.0336341518312915,1.70323433574247,0.548121408509688,0.149174684438168,0.0843834201907098,0.0511709875363611,0.0472544285423881,2.06440450132453,2.67193246182132,3.23461429508475,0.816014627533021,1.10047830195622,3.15684030131388,1273.15,0.000785453402976868,5.89011506892354
"4","N","1045A","LEPR",1000,16,"Y","Y",57.55,16.15,3.38,1.58,6.66,4.81,1.95,1.9,0.571798523881368,0.189117081846185,0.0651125123660549,0.0200274734462114,0.0708978707825881,0.0399670769183718,0.0288831444911129,0.0141963162681078,0.0316747833538524,1.67508819572467,0.641853886172395,0.158393895705221,0.0545346004291776,0.016773892179969,0.118760186449926,2.09859718586393,3.37198752035046,2.92913821800681,0.833350852383165,2.22124868875581,1.33372892414585,1273.15,0.000785453402976868,12.5664689942269
"5","N","1045BA","LEPR",1000,16,"Y","N",51.33,15.86,1.88,0.93,9.4,8.01,2.55,2.7,0.526699730786544,0.19180306568171,0.037402422533049,0.0121743604639832,0.103342972026085,0.0687359526596623,0.0390071456663488,0.0208343501826179,0.052275906434517,1.62197272916115,0.993251773010283,0.155549670952619,0.030332854676584,0.00987324033377922,0.167619482376773,2.53668652912107,4.66973544557066,5.17467324167562,0.748462594971466,3.86880822205006,0.92799278906599,1273.15,0.000785453402976868,12.5664689942269
"6","N","1045T","LEPR",1000,16,"Y","N",60.79,15.32,5.28,4.87,2.64,3.37,0.18,1.61,0.593524198596145,0.176289149093028,0.0999517172791661,0.0606605891329879,0.0276166804800222,0.0275166649517249,0.00261993762351126,0.011821062843414,0.0337145335925455,1.70462594076683,0.476234178996372,0.150253528309844,0.0851901450491295,0.051701806909145,0.047076109944115,2.06290545247332,2.63895557688257,3.22220482914429,0.816737029004339,1.09760673407332,3.19171504374965,1273.15,0.000785453402976868,12.5664689942269
"7","N","1046A","LEPR",950,7.5,"Y","N",58.22,16.55,3.35,1.56,5.96,5.02,1.82,1.45,0.578736201848488,0.193895163447229,0.0645659144629036,0.0197835590107752,0.0634769381155097,0.0417322474486438,0.0269706862075992,0.0108392894588513,0.0145730501862876,1.67427553574512,0.371563556432483,0.162316964329499,0.0540505655141258,0.0165615644308555,0.106277884570805,1.88303657655365,3.10753336916998,1.29868204035014,0.917615190285447,2.29871219655845,1.52728824990263,1223.15,0.000817561214895965,6.13089155050484
"8","N","1046BA","LEPR",950,7.5,"Y","N",53.14,17.18,1.82,0.9,8.79,7.94,2.09,1.68,0.539480801754183,0.205559774702531,0.0358241490287432,0.0116565043303616,0.0956102779529161,0.0674115875056525,0.0316309976493968,0.0128259070762157,0.0271657840259629,1.63938492009508,0.518793793415168,0.168495797412736,0.0293647848464803,0.00955474871010892,0.15674204788211,2.15248677535033,3.93871865410158,2.44967300492422,0.86115933528589,4.32933753349697,1.0749878522671,1223.15,0.000817561214895965,6.13089155050484
"9","N","1046T","LEPR",950,7.5,"Y","N",61.13,15.52,5.17,4.78,2.26,3.81,0.17,1.31,0.597030681033853,0.178646495172545,0.0979000351793047,0.0595581948679344,0.0236489549879202,0.0311190863529503,0.00247516032505275,0.00962139208043937,0.0222466229864919,1.70409234701152,0.27002713721306,0.152215062621983,0.083415350360606,0.0507463320381341,0.0403000032097348,1.91975489532261,2.54970151873036,2.08580135266764,0.872484190962034,1.13456435474316,3.77704839947046,1223.15,0.000817561214895965,6.13089155050484
"10","N","1056A","LEPR",1000,4,"Y","N",57.83,15.6,3.41,1.61,7.83,4.3,2.34,2.17,0.567032731202333,0.180276892790119,0.064827513771504,0.0201396624886385,0.082257964760796,0.035260056185579,0.0342044769288961,0.0160007018721343,0.0587348052489167,1.69738532741368,0.774727167552368,0.152999676346839,0.0550186353442295,0.0170923838036393,0.139623462447886,2.44057944440272,3.79965913922214,5.74575813109018,0.722601605528505,2.1217239494716,1.09580204977329,1273.15,0.000785453402976868,3.1410281585045
"11","N","1056BA","LEPR",1000,4,"Y","N",54.42,15.57,1.91,0.95,10.58,5.63,2.98,2.74,0.54293598797816,0.183079296040955,0.0369465175801167,0.0120916362234428,0.113093337605343,0.0469740596392652,0.0443219149070872,0.0205572500256301,0.0768580884475171,1.66818913445961,1.00795792039998,0.152705446200018,0.0308168895916359,0.0100855680828928,0.188661076973006,2.7688520304716,4.60578691314141,7.73217572768693,0.665199054520907,3.73340515171812,0.809416805257965,1273.15,0.000785453402976868,3.1410281585045
"12","N","1056T","LEPR",1000,4,"Y","Y",61.66,15.54,5.16,4.79,2.83,3.15,0.16,1.81,0.596573948999636,0.177203505181223,0.0967966922470074,0.0591245234851837,0.0293365109746245,0.025487716407309,0.00230777203649886,0.0131693306685172,0.0321594485597211,1.7201828586554,0.593326845277734,0.152411216053197,0.0832540053889221,0.0508524959126908,0.050464163311305,2.02993187447509,2.55578893912235,3.04208959207137,0.825760780418893,1.13649386550183,3.02018711997655,1273.15,0.000785453402976868,3.1410281585045
"13","N","ASI200","LEPR",1150,0.001,"Y","N",57.88,4.72,12.45,1.03,10.76,0,0,11.84,0.529414633134628,0.0508826763718852,0.220793772963097,0.0120192126529893,0.105448632375988,0,0,0.0814410725014134,0.357387970801318,1.81956662138385,2.47148362945586,0.0462922097664793,0.200874489746527,0.0109348790793469,0.191870811741923,16.4715160549874,16.4715160549874,132.670401326771,0.114675458431888,0.218556006389574,0.241267597432928,1423.15,0.000702666619822225,0
"14","N","ASI220","LEPR",1150,0.001,"Y","N",59.87,9.36,11.94,1.16,8.49,0,0,8.2,0.540369802804311,0.0995676349825657,0.208947024494754,0.0133570692747076,0.0821014382555004,0,0,0.0556570301881603,0.264553589765042,1.84396879215173,2.10413415427021,0.0917998058081031,0.192645896190645,0.0123150094485848,0.151392489933915,7.18369801408545,7.18369801408545,49.1704741064634,0.257608898774364,0.447889345149987,0.606369614821547,1423.15,0.000702666619822225,0
"15","N","ASI240","LEPR",1150,0.001,"Y","N",61.67,14.62,10.89,1.34,6.05,0,0,4.33,0.553277231555998,0.154588346540539,0.189429136939306,0.0153371626818403,0.0581547892529819,0,0,0.0292133330293354,0.154425227092342,1.85509660237883,1.4655675420144,0.143388158217358,0.17570467416383,0.0142259591906066,0.107882751955263,3.75394692822262,3.75394692822262,18.0550501104253,0.481469824025023,0.754950139874361,1.32911105453463,1423.15,0.000702666619822225,0
"16","N","ASI250","LEPR",1150,0.001,"Y","N",61.99,17.18,9.92,1.38,5.07,0,0,2.97,0.558982764996662,0.182583055247874,0.17343570263847,0.0158754938237079,0.0489830701267985,0,0,0.0201399131664877,0.0966165585110767,1.84568931858421,1.08856195281461,0.168495797412736,0.160054211910486,0.0146506146888337,0.0904075293244935,2.81476717815479,2.81476717815479,9.46657055764598,0.635563728539148,0.964459887528903,1.86373633558734,1423.15,0.000702666619822225,0
"17","N","ASI260","LEPR",1150,0.001,"Y","N",61.37,19.18,8.87,1.38,5.13,0,0,3.02,0.554375663616476,0.204200671515367,0.155353736912333,0.0159037117582625,0.0496508468614181,0,0,0.0205153693361435,0.0611299049525106,1.8424145144887,1.10525683138678,0.188111140534126,0.14311298988367,0.0146506146888337,0.0914774409141325,2.39001645300302,2.39001645300302,5.39998306154295,0.754735802711964,1.19236081759069,2.05636645116364,1423.15,0.000702666619822225,0
"18","N","ASI280","LEPR",1150,0.001,"Y","N",57.51,20.52,5.93,1.22,8.6,0,0,4.27,0.536604797003059,0.225657134478296,0.107279299055682,0.0145225335865977,0.0859747449009316,0,0,0.0299614909754335,0.0607301349939753,1.78370979398228,1.45161382724053,0.201253420425457,0.0956775682085868,0.0129519926959254,0.15335399451492,2.42591852426158,2.42591852426158,5.01534284976046,0.768191042003582,1.85265795746301,1.31234547272179,1423.15,0.000702666619822225,0
"19","N","DAC","LEPR",1150,0.001,"Y","N",62.8,16.19,5.09,3.5,8.97,0,0,2,0.585111165901898,0.177781317503284,0.091948907889389,0.0416023786365821,0.0895431662098715,0,0,0.0140130638589752,0.120447526765381,1.78630921176197,0.693147180559945,0.158786202567648,0.0821245905871344,0.037157356094868,0.159951782651027,3.00549997095964,3.00549997095964,11.5790620276689,0.568649793658242,1.3311838629777,0.992712928458437,1423.15,0.000702666619822225,0
"20","N","HL220-100","LEPR",1150,0.001,"Y","N",59.56,9.18,12.13,1.15,8.9,0,0,8.74,0.53429811003489,0.0970581835969466,0.210979277368991,0.0131612811009702,0.0855421609285078,0,0,0.0589609869696939,0.276589423762605,1.85526704890881,2.16791018966744,0.090034424927178,0.19571145065264,0.0122088455740281,0.158703552463115,7.62128985672643,7.62128985672643,53.335917719952,0.245577109205899,0.433023743045389,0.567311969579909,1423.15,0.000702666619822225,0
"21","N","HL220-1500","LEPR",1150,0.001,"Y","N",59.71,9.18,12.07,1.18,8.72,0,0,8.59,0.536769125298087,0.0972621055036515,0.210376767186767,0.0135329924435887,0.0839881862630377,0,0,0.0580708233048689,0.272730110787255,1.8513772545012,2.15059873599616,0.090034424927178,0.194743380822537,0.0125273371976984,0.155493817694198,7.50634810586745,7.50634810586745,52.2398467956947,0.248189710027368,0.43438082227509,0.57902253775931,1423.15,0.000702666619822225,0
"22","N","HL220-15000","LEPR",1150,0.001,"Y","N",58.37,8.77,11.45,1.13,8.75,0,0,8.3,0.540640270168872,0.0957367809845214,0.205624204697195,0.0133526823426742,0.086833641191658,0,0,0.0578124206150792,0.26675200430477,1.7968700995117,2.11625551480255,0.0860132795872932,0.184739992578131,0.0119965178249145,0.156028773489017,7.58598431607379,7.58598431607379,51.5371595587417,0.243825805754772,0.437200392601665,0.551265498432874,1423.15,0.000702666619822225,0
"23","N","HL220-25","LEPR",1150,0.001,"Y","N",59.62,9.32,12.01,1.14,8.82,0,0,8.64,0.53570780256524,0.0986989294106708,0.209232458625079,0.0130680933240046,0.0849113697611213,0,0,0.0583813463138849,0.271747497423158,1.85224904649863,2.15640258281596,0.0914074989456753,0.193775310992433,0.0121026816994713,0.15727700367693,7.41621352960765,7.41621352960765,51.3955052112486,0.25170381754252,0.443988683542618,0.581187947434706,1423.15,0.000702666619822225,0
"24","N","HL220-250","LEPR",1150,0.001,"Y","N",59.2,8.86,11.99,1.11,9.33,0,0,9.12,0.532564684760924,0.0939387785189129,0.209131711365058,0.0127392837803854,0.089927715901506,0,0,0.0616978256732138,0.284712093285971,1.85005535302465,2.21046980408624,0.0868959700277557,0.193452621049065,0.011784190075801,0.166371252188861,8.02995532383161,8.02995532383161,56.9100073054011,0.233837687085908,0.423393686305563,0.522301592880442,1423.15,0.000702666619822225,0
"25","N","HL220-2500","LEPR",1150,0.001,"Y","N",59.78,9.1,11.99,1.12,8.81,0,0,8.59,0.538170119138958,0.096552959845653,0.209282494837374,0.012863319844083,0.0849768914234391,0,0,0.0581542149104925,0.273191848875757,1.84872242849924,2.15059873599616,0.0892498112023224,0.193452621049065,0.0118903539503578,0.157098685078656,7.54590310268409,7.54590310268409,52.5753975024318,0.246246006000237,0.434637762516947,0.568113037722988,1423.15,0.000702666619822225,0
"26","N","HL220-40000","LEPR",1150,0.001,"Y","N",57.22,8.68,11.4,1.05,8.54,0,0,7.64,0.540892205069676,0.0967037072975599,0.208938162675841,0.0126626191258413,0.0864932072529417,0,0,0.0543100985781403,0.262233968326622,1.76064789087934,2.03339760317843,0.0851305891468307,0.183933267719712,0.0111472068284604,0.152284082925281,7.54378222181748,7.54378222181748,50.1343167424283,0.245075633985303,0.436387031270057,0.559024866627725,1423.15,0.000702666619822225,0
"27","N","HL220-50","LEPR",1150,0.001,"Y","N",59.31,9,12.16,1.14,8.97,0,0,8.86,0.533258508258033,0.0953702471677067,0.211979320201705,0.0130763367559055,0.0864099142070141,0,0,0.0599056734096365,0.279980905871938,1.85108137323024,2.18154676461699,0.088269044046253,0.196195485567692,0.0121026816994713,0.159951782651027,7.82341700698094,7.82341700698094,55.0525845688251,0.239698726546637,0.423762941385072,0.55184782928511,1423.15,0.000702666619822225,0
"28","N","HL220-5000","LEPR",1150,0.001,"Y","N",59.64,9.36,11.91,1.11,8.59,0,0,8.08,0.539926679586445,0.0998696507758123,0.209054232839451,0.0128201028007203,0.083320444561301,0,0,0.05500888943627,0.265321921459938,1.83839244645354,2.089391872533,0.0917998058081031,0.192161861275593,0.011784190075801,0.153175675916647,7.20509519230984,7.20509519230984,49.2044990487225,0.257054664554761,0.450118083678581,0.599310597186838,1423.15,0.000702666619822225,0
"29","N","HL220-60000","LEPR",1150,0.001,"Y","N",55.51,7.3,10.13,1.03,9.38,0,0,7.11,0.552529233339113,0.0856381787833921,0.195498544987588,0.0130795449225039,0.100034114759103,0,0,0.0532203832083003,0.270044178182351,1.67205803323217,1.96150224381515,0.0715960023930719,0.163442456315849,0.0109348790793469,0.167262845180227,8.63624408306241,8.63624408306241,57.0705601669315,0.209565520871939,0.410580894763715,0.428044867441581,1423.15,0.000702666619822225,0
"30","N","HL220-75000","LEPR",1150,0.001,"Y","N",54.98,7.98,10.73,0.98,8.94,0,0,7.21,0.54199515277175,0.0927158720991631,0.205088089636822,0.0123250337853902,0.0944255335118373,0,0,0.0534503181950378,0.264678822125313,1.68828092283135,1.97546895129686,0.0782652190543443,0.173123154616886,0.010404059706563,0.159416826856207,8.08460961040628,8.08460961040628,52.6707743224131,0.228215713517366,0.426450209811441,0.490947038639396,1423.15,0.000702666619822225,0
"31","N","HL220-without","LEPR",1150,0.001,"Y","N",59.82,9.41,11.98,1.14,8.62,0,0,8.47,0.537960316682137,0.0997364680673894,0.208886657535587,0.0130791662134177,0.0830562577305296,0,0,0.0572811337709389,0.266814400102181,1.8506809229254,2.13653050866396,0.0922901893861378,0.193291276077381,0.0121026816994713,0.153710631711466,7.23294525229964,7.23294525229964,49.728463392017,0.257000862945362,0.449332543104337,0.600415133023315,1423.15,0.000702666619822225,0
"32","N","HL22REE-200","LEPR",1150,0.001,"Y","N",59.88,9.28,11.84,0,8.67,0,0,8.48,0.547149865575327,0.0999385423443328,0.209761731026198,0,0.084879900961259,0,0,0.0582699600928836,0.25461947909339,1.82142324569153,2.13771044980381,0.0910151920832475,0.191032446473806,0,0.154602224702832,6.9406015666547,6.9406015666547,46.564218419069,0.263327726276436,0.476438394436452,0.588705578190689,1423.15,0.000702666619822225,0
"33","N","HL22REE-2000","LEPR",1150,0.001,"Y","N",58.66,8.87,11.74,0,8.63,0,0,8.14,0.546975948590295,0.0974788328665065,0.212248348224155,0,0.086218056457925,0,0,0.0570788138611192,0.256313900323343,1.78488076201113,2.09679018001445,0.0869940467433627,0.189418996756966,0,0.153888950309739,7.21482984441888,7.21482984441888,48.0721569078203,0.253399455173286,0.459267804353226,0.56530404923983,1423.15,0.000702666619822225,0
"34","N","HL22REE-8000","LEPR",1150,0.001,"Y","N",54.32,8.26,11.14,0,8.59,0,0,7.5,0.540509357560979,0.0968688251321288,0.214920923171721,0,0.0915794184051712,0,0,0.0561214757300001,0.251902607281237,1.67259935238896,2.01490302054226,0.0810113670913388,0.179738298455929,0,0.153175675916647,7.60296248021042,7.60296248021042,48.1111140117427,0.243340242007012,0.45071844891868,0.528878796235393,1423.15,0.000702666619822225,0
"35","N","HL240-100","LEPR",1150,0.001,"Y","N",62.55,15.75,10.65,1.48,5.69,0,0,3.88,0.555190321682268,0.164761470782067,0.183279643395517,0.0167589831301675,0.0541113165423529,0,0,0.0258982644676277,0.134537103614303,1.87508434281052,1.35583515363518,0.154470827080943,0.171832394843415,0.0157122534344013,0.10146328241743,3.36993405064664,3.36993405064664,14.7076920115826,0.534486464469481,0.823648280553013,1.52243080847153,1423.15,0.000702666619822225,0
"36","N","HL240-2000","LEPR",1150,0.001,"Y","N",63.21,15.71,10.38,1.38,5.49,0,0,3.55,0.563552803398516,0.16507660882623,0.179430483931571,0.015696372126514,0.0524423844707778,0,0,0.0238013472463919,0.125945085530233,1.86675170169878,1.26694760348732,0.154078520218515,0.167476080607948,0.0146506146888337,0.0978969104519663,3.22491245973706,3.22491245973706,13.5382045802254,0.550234041185665,0.845996354172236,1.57388542199311,1423.15,0.000702666619822225,0
"37","N","HL240-20000","LEPR",1150,0.001,"Y","N",61.57,14.71,10.75,1.42,6.38,0,0,3.96,0.55281643776308,0.155662856808134,0.187141587624433,0.0162656534310556,0.0613753150917092,0,0,0.0267381492815877,0.158017531787773,1.85363228731751,1.37624402526639,0.14427084865782,0.173445844560254,0.0150752701870607,0.113767265698278,3.79019818401869,3.79019818401869,18.3628179737055,0.477262303119807,0.765276870186102,1.26812266931369,1423.15,0.000702666619822225,0
"38","N","HL240-250","LEPR",1150,0.001,"Y","N",62.7,15.5,10.55,1.48,5.76,0,0,3.94,0.557602695282358,0.162461160438153,0.181911365507291,0.0167915356032972,0.0548834076531943,0,0,0.0263498355157064,0.136623801975549,1.87144925938949,1.37118072330984,0.152018909190769,0.170218945126575,0.0157122534344013,0.102711512605342,3.40516467071839,3.40516467071839,15.0817574272831,0.526668103194106,0.817608396908785,1.4800571555682,1423.15,0.000702666619822225,0
"39","N","HL240-45000","LEPR",1150,0.001,"Y","N",59.86,13.26,9.41,1.13,7.63,0,0,4.16,0.562182946533644,0.146772607002288,0.171348627101391,0.0135391304944034,0.0767762249685774,0,0,0.0293804638996965,0.169829501767129,1.77212529709696,1.42551507427317,0.130049724894813,0.151825618354604,0.0119965178249145,0.136057090482423,4.10165640652614,4.10165640652614,20.5821367685005,0.433673670372039,0.79384708274285,0.955846728999497,1423.15,0.000702666619822225,0
"40","N","HL240-500","LEPR",1150,0.001,"Y","N",63.43,15.83,10.33,1.38,5.43,0,0,3.45,0.564884695691806,0.166152370382067,0.178367394946727,0.0156788988873434,0.0518115026902056,0,0,0.0231051374018512,0.122891528494891,1.86883209007237,1.23837423104327,0.155255440805798,0.166669355749528,0.0146506146888337,0.0968269988623273,3.171521756215,3.171521756215,13.0934952749437,0.558177718765508,0.856251191914771,1.60343130149626,1423.15,0.000702666619822225,0
