"","Source","Expt","A_C","InvTK","lnTiO2","lnTiO2sat"
"1","LEPR","1044A",1.16287476864403,0.000785453402976868,0.841567185678219,0.963940510396594
"2","LEPR","1044BA",0.858697754307114,0.000785453402976868,1.04731899428056,1.00224091674388
"3","LEPR","1044T",3.15684030131388,0.000785453402976868,0.548121408509688,0.712870618379227
"4","LEPR","1045A",1.33372892414585,0.000785453402976868,0.641853886172395,0.942427433229647
"5","LEPR","1045BA",0.92799278906599,0.000785453402976868,0.993251773010283,0.993515642104374
"6","LEPR","1045T",3.19171504374965,0.000785453402976868,0.476234178996372,0.70847937004819
"7","LEPR","1046A",1.52728824990263,0.000817561214895965,0.371563556432483,0.640225980107046
"8","LEPR","1046BA",1.0749878522671,0.000817561214895965,0.518793793415168,0.69717732160878
"9","LEPR","1046T",3.77704839947046,0.000817561214895965,0.27002713721306,0.356947744569713
"10","LEPR","1056A",1.09580204977329,0.000785453402976868,0.774727167552368,0.972385962440913
"11","LEPR","1056BA",0.809416805257965,0.000785453402976868,1.00795792039998,1.00844612057191
"12","LEPR","1056T",3.02018711997655,0.000785453402976868,0.593326845277734,0.730077284653068
"13","LEPR","ASI220",0.606369614821547,0.000702666619822225,2.10413415427021,1.75036826055145
"14","LEPR","ASI240",1.32911105453463,0.000702666619822225,1.4655675420144,1.65936437294549
"15","LEPR","ASI250",1.86373633558734,0.000702666619822225,1.08856195281461,1.59204710522726
"16","LEPR","ASI260",2.05636645116364,0.000702666619822225,1.10525683138678,1.56779211108387
"17","LEPR","ASI280",1.31234547272179,0.000702666619822225,1.45161382724053,1.66147540884174
"18","LEPR","HL220-100",0.567311969579909,0.000702666619822225,2.16791018966744,1.75528619850604
"19","LEPR","HL220-1500",0.57902253775931,0.000702666619822225,2.15059873599616,1.7538116639466
"20","LEPR","HL220-15000",0.551265498432874,0.000702666619822225,2.11625551480255,1.75730668768308
"21","LEPR","HL220-25",0.581187947434706,0.000702666619822225,2.15640258281596,1.75353900668925
"22","LEPR","HL220-250",0.522301592880442,0.000702666619822225,2.21046980408624,1.76095367381213
"23","LEPR","HL220-2500",0.568113037722988,0.000702666619822225,2.15059873599616,1.7551853321225
"24","LEPR","HL220-40000",0.559024866627725,0.000702666619822225,2.03339760317843,1.75632966791875
"25","LEPR","HL220-50",0.55184782928511,0.000702666619822225,2.18154676461699,1.75723336357502
"26","LEPR","HL220-5000",0.599310597186838,0.000702666619822225,2.089391872533,1.75125709577265
"27","LEPR","HL220-60000",0.428044867441581,0.000702666619822225,1.96150224381515,1.77282199625307
"28","LEPR","HL220-75000",0.490947038639396,0.000702666619822225,1.97546895129686,1.76490167813747
"29","LEPR","HL220-without",0.600415133023315,0.000702666619822225,2.13653050866396,1.75111801829681
"30","LEPR","HL22REE-200",0.588705578190689,0.000702666619822225,2.13771044980381,1.75259242526084
"31","LEPR","HL22REE-2000",0.56530404923983,0.000702666619822225,2.09679018001445,1.75553902551569
"32","LEPR","HL22REE-8000",0.528878796235393,0.000702666619822225,2.01490302054226,1.76012550616878
"33","LEPR","HL240-100",1.52243080847153,0.000702666619822225,1.35583515363518,1.63502254308408
"34","LEPR","HL240-2000",1.57388542199311,0.000702666619822225,1.26694760348732,1.62854364259709
"35","LEPR","HL240-20000",1.26812266931369,0.000702666619822225,1.37624402526639,1.66704371696666
"36","LEPR","HL240-250",1.4800571555682,0.000702666619822225,1.37118072330984,1.64035801568103
"37","LEPR","HL240-45000",0.955846728999497,0.000702666619822225,1.42551507427317,1.7063638984491
"38","LEPR","HL240-500",1.60343130149626,0.000702666619822225,1.23837423104327,1.62482337729918
"39","LEPR","HL240-5000",1.43741674502502,0.000702666619822225,1.34286480319255,1.64572707702901
"40","LEPR","ND-002-18",20.9890275324602,0.000975467004828562,-2.65926003693278,-3.17665776764293
"41","LEPR","ND-002-20",22.6682005670779,0.000975467004828562,-3.2188758498682,-3.38809060616118
"42","LEPR","SH2K",0.390489302363729,0.000702666619822225,1.88706964903238,1.77755079999328
"43","LEPR","SH2Na",0.401786648141778,0.000702666619822225,1.99877363861238,1.77612829627489
"44","Dissolution","SpDis_1",2.70680958628372,0.000635667291739503,2.40061883326541,2.06563801110978
"45","Dissolution","SpDis_10",3.42493113901133,0.00072825255798711,0.8754687373539,1.17407390919326
"46","Dissolution","SpDis_11",2.8420838940219,0.00072825255798711,0.974559639998131,1.24746303877675
"47","Dissolution","SpDis_12",3.45187523701873,0.000678817499915148,1.31908561142644,1.59844366820691
"48","Dissolution","SpDis_13",3.8562731391093,0.000678817499915148,1.17865499634165,1.54752396275243
"49","Dissolution","SpDis_15",1.53818120907379,0.000678817499915148,1.65822807660353,1.8394061848995
"50","Dissolution","SpDis_16",2.98510748617942,0.000785453402976868,0.336472236621213,0.734494331851302
"51","Dissolution","SpDis_17",7.41886244829797,0.000785453402976868,-0.210721031315653,0.176218694017149
"52","Dissolution","SpDis_18",10.3814073518306,0.000834620039227142,-0.59783700075562,-0.622249497072105
"53","Dissolution","SpDis_2",1.23890766711257,0.000635667291739503,2.06432790386979,2.25046867658519
"54","Dissolution","SpDis_21",6.19000610312474,0.000785453402976868,0.392042087776024,0.330949969373946
"55","Dissolution","SpDis_3",0.545322429500415,0.000635667291739503,2.60417007061482,2.33780136506901
"56","Dissolution","SpDis_7",6.69962535628702,0.00072825255798711,0.27002713721306,0.761741243432261
"57","Growth","SpG_10",2.60855403081798,0.000785453402976868,1.10856261952128,0.781908007678374
"58","Growth","SpG_11",6.52835982044286,0.000931836183198994,-0.616186139423817,-0.978306547014486
"59","Growth","SpG_15",3.94982730971236,0.000931836183198994,-1.13943428318836,-0.653630985463757
"60","Growth","SpG_16",3.61463812069558,0.000931836183198994,-1.10866262452161,-0.611425685465844
"61","Growth","SpG_17",2.3614488361492,0.000852405915697055,0.712949807856125,0.233680961270093
"62","Growth","SpG_18",1.77913001985267,0.000852405915697055,0.858661619037519,0.307003553828396
"63","Growth","SpG_19",1.8174188511123,0.000785453402976868,1.16002091679675,0.881523683519013
"64","Growth","SpG_20",1.49547721252357,0.000785453402976868,1.29198368164865,0.922060920051953
"65","Growth","SpG_23",2.9926924193045,0.000852405915697055,0.512823626428664,0.154198013514597
"66","Growth","SpG_29",2.40876227157736,0.000785453402976868,0.506817602368452,0.807064759185176
"67","Growth","SpG_30",2.41829062248046,0.000785453402976868,0.27763173659828,0.805864998209798
"68","Growth","SpG_32",3.2000485033939,0.000852405915697055,0.0198026272961797,0.128088801099193
"69","Growth","SpG_33",2.1160419252353,0.000785453402976868,0.792992515529661,0.84392260077935
"70","Growth","SpG_34",1.72830334959166,0.000785453402976868,0.912282710476616,0.892744649467157
"71","Growth","SpG_7",5.79657223411402,0.000852405915697055,-0.22314355131421,-0.198852122407922
"72","Growth","SpG_8",3.37526483437567,0.000852405915697055,0.122217632724249,0.106026461214928
